track,gate,chainage_m,lat,lon,median_speed_kmh,stop_frac
Morning,START,162,50.83636,4.64036,22.1,0.000
Morning,G1,1312,50.84342,4.65127,24.3,0.000
Morning,G2,2662,50.85111,4.66399,24.6,0.000
Morning,G3,4212,50.85875,4.67050,26.3,0.000
Morning,FINISH,5487,50.86360,4.68614,20.1,0.000
EveningA,START,162,50.86329,4.68479,23.4,0.000
EveningA,G1,1487,50.85802,4.66880,24.9,0.000
EveningA,G2,2987,50.85146,4.66265,24.6,0.000
EveningA,G3,4037,50.84481,4.65294,24.3,0.000
EveningA,FINISH,5387,50.83633,4.64031,21.8,0.000
EveningB,START,162,50.86211,4.68696,19.3,0.000
EveningB,G1,1487,50.85318,4.67684,24.9,0.000
EveningB,G2,2812,50.84241,4.66960,24.8,0.000
EveningB,G3,4037,50.83719,4.65665,29.8,0.000
EveningB,FINISH,5237,50.83801,4.64333,21.8,0.000
