track,len_m,med_moving_t_s,sig_all_s,sig_clean_s,sig_clean_p75_s,n_pos,sig_over_T
Morning,100,15.1,0.39,0.39,0.61,50,0.0255
Morning,200,30.3,0.77,0.77,1.06,49,0.0255
Morning,300,45.4,1.09,1.09,1.67,48,0.0238
Morning,400,60.7,1.37,1.37,2.10,47,0.0222
Morning,500,76.3,1.69,1.69,2.44,46,0.0225
Morning,700,106.8,2.23,2.20,3.34,44,0.0206
Morning,900,137.2,3.03,3.01,4.02,42,0.0222
Morning,1200,183.6,4.21,4.13,4.94,39,0.0224
Morning,1500,231.6,5.01,4.92,5.24,36,0.0212
EveningA,100,15.1,0.50,0.50,0.65,49,0.0333
EveningA,200,30.5,0.91,0.91,1.20,48,0.0295
EveningA,300,45.9,1.30,1.30,1.54,47,0.0282
EveningA,400,61.2,1.62,1.63,1.92,46,0.0266
EveningA,500,76.3,1.94,1.91,2.46,45,0.0249
EveningA,700,106.2,2.64,2.64,3.31,43,0.0250
EveningA,900,137.8,3.44,3.44,3.96,41,0.0253
EveningA,1200,183.6,4.59,4.54,5.10,38,0.0247
EveningA,1500,229.9,5.60,5.60,6.10,35,0.0243
EveningB,100,15.2,0.52,0.51,0.71,52,0.0342
EveningB,200,30.5,1.06,1.03,1.26,51,0.0346
EveningB,300,45.7,1.48,1.47,1.71,50,0.0317
EveningB,400,61.1,1.99,1.86,2.23,49,0.0301
EveningB,500,76.2,2.27,2.16,2.76,48,0.0288
EveningB,700,106.5,3.25,3.17,3.65,46,0.0295
EveningB,900,137.2,4.15,3.96,4.31,44,0.0288
EveningB,1200,182.7,5.42,4.80,5.36,41,0.0263
EveningB,1500,228.9,6.54,5.93,6.37,38,0.0258
