chainage_m,median_speed_ms,stop_frac,n_rides
12,4.01,0.111,27
37,4.66,0.000,27
62,5.55,0.000,28
87,6.28,0.000,28
112,6.34,0.000,29
137,6.50,0.000,29
162,6.51,0.000,29
187,6.56,0.000,29
212,6.42,0.067,30
237,6.53,0.000,30
262,6.17,0.000,30
287,6.19,0.000,30
312,6.15,0.000,30
337,6.40,0.000,30
362,6.61,0.000,30
387,6.64,0.000,30
412,6.49,0.000,30
437,6.13,0.000,30
462,3.32,0.062,32
487,4.04,0.062,32
512,4.96,0.000,32
537,5.84,0.000,32
562,6.29,0.000,32
587,6.54,0.000,32
612,6.60,0.000,32
637,6.75,0.000,32
662,6.71,0.000,32
687,6.72,0.000,32
712,6.69,0.000,32
737,6.72,0.000,32
762,6.73,0.000,32
787,6.73,0.000,32
812,6.81,0.000,32
837,6.72,0.000,32
862,6.73,0.000,32
887,6.69,0.000,32
912,6.74,0.000,32
937,6.64,0.000,32
962,6.65,0.000,32
987,6.72,0.000,32
1012,6.71,0.000,32
1037,6.70,0.000,32
1062,6.74,0.000,32
1087,6.73,0.000,32
1112,6.76,0.000,32
1137,6.69,0.000,32
1162,6.82,0.000,32
1187,6.77,0.000,32
1212,6.72,0.000,32
1237,6.56,0.000,32
1262,6.21,0.000,32
1287,6.33,0.000,32
1312,6.58,0.000,32
1337,6.16,0.000,32
1362,5.94,0.000,32
1387,6.30,0.000,32
1412,6.83,0.000,32
1437,6.82,0.000,32
1462,6.79,0.000,32
1487,6.92,0.000,32
1512,6.87,0.000,32
1537,6.76,0.000,32
1562,6.77,0.000,32
1587,6.73,0.000,32
1612,6.72,0.000,32
1637,6.75,0.000,32
1662,6.60,0.000,32
1687,6.79,0.000,32
1712,6.85,0.000,32
1737,6.74,0.000,32
1762,6.75,0.000,32
1787,6.72,0.000,32
1812,6.70,0.000,32
1837,6.65,0.000,32
1862,6.74,0.000,32
1887,6.79,0.000,32
1912,6.63,0.000,32
1937,6.62,0.000,32
1962,6.44,0.000,32
1987,6.51,0.000,32
2012,6.29,0.000,32
