chainage_m,median_speed_ms,stop_frac,n_rides
12,3.62,0.000,15
37,4.60,0.042,24
62,4.85,0.000,24
87,5.03,0.000,25
112,4.91,0.000,27
137,4.60,0.000,27
162,5.37,0.000,28
187,6.76,0.000,28
212,6.56,0.000,28
237,6.66,0.000,28
262,6.64,0.000,28
287,6.47,0.000,28
312,6.54,0.000,28
337,6.41,0.000,28
362,6.38,0.000,28
387,6.63,0.000,28
412,6.70,0.000,28
437,6.62,0.000,28
462,6.18,0.000,28
487,3.38,0.310,29
512,4.54,0.034,29
537,5.45,0.034,29
562,6.18,0.000,29
587,6.44,0.000,29
612,6.46,0.000,29
637,6.51,0.000,29
662,6.56,0.000,29
687,6.51,0.000,29
712,6.54,0.000,29
737,6.61,0.000,29
762,6.61,0.000,29
787,6.62,0.000,29
812,1.70,0.034,29
837,6.46,0.000,29
862,4.82,0.034,29
887,5.98,0.000,29
912,5.82,0.000,29
937,5.81,0.000,29
962,5.80,0.000,29
987,5.86,0.000,29
1012,5.78,0.000,29
1037,5.79,0.000,29
1062,5.73,0.000,29
1087,5.66,0.000,29
1112,5.47,0.000,29
1137,6.21,0.000,29
1162,6.77,0.000,29
1187,6.78,0.000,29
1212,6.79,0.000,29
1237,6.87,0.000,29
1262,6.82,0.000,29
1287,6.82,0.000,29
1312,6.83,0.000,29
1337,6.84,0.000,29
1362,6.84,0.000,29
1387,6.85,0.000,29
1412,6.84,0.000,29
1437,6.86,0.000,29
1462,6.87,0.000,29
1487,6.91,0.000,29
1512,6.91,0.000,29
1537,6.91,0.000,29
1562,6.83,0.000,29
1587,6.80,0.000,29
1612,6.70,0.000,29
1637,6.86,0.000,29
1662,6.84,0.000,29
1687,6.83,0.000,29
1712,6.96,0.000,29
1737,6.83,0.000,29
1762,6.90,0.000,29
1787,6.92,0.000,29
1812,6.50,0.000,29
1837,6.58,0.000,29
1862,6.56,0.000,29
1887,6.53,0.000,29
1912,6.52,0.000,29
1937,6.61,0.000,29
1962,6.56,0.000,29
1987,6.25,0.000,29
2012,6.65,0.000,29
2037,6.57,0.000,29
2062,6.52,0.000,29
2087,6.48,0.000,29
2112,6.52,0.000,29
2137,6.43,0.000,29
2162,6.43,0.000,29
2187,6.39,0.000,29
2212,6.40,0.000,29
2237,6.46,0.000,29
2262,6.45,0.000,29
2287,6.46,0.000,29
2312,6.44,0.000,29
2337,6.40,0.000,29
2362,6.44,0.000,29
2387,6.51,0.000,29
2412,6.58,0.000,29
2437,6.47,0.000,29
2462,6.42,0.000,29
2487,6.44,0.000,29
2512,6.51,0.000,29
2537,6.59,0.000,29
2562,6.56,0.000,29
2587,6.61,0.000,29
2612,6.55,0.000,29
2637,6.55,0.000,29
2662,6.53,0.000,29
2687,6.64,0.000,28
2712,6.78,0.000,28
2737,6.67,0.000,28
2762,6.78,0.000,28
2787,6.87,0.000,28
2812,6.88,0.000,28
2837,6.80,0.000,28
2862,6.77,0.000,28
2887,6.71,0.000,28
2912,6.69,0.000,28
2937,6.59,0.000,28
2962,6.65,0.000,28
2987,6.64,0.000,28
3012,6.54,0.000,28
3037,6.32,0.000,28
3062,6.11,0.000,28
3087,6.33,0.000,28
3112,6.50,0.000,28
3137,6.81,0.000,28
3162,6.99,0.000,26
3187,7.01,0.000,26
3212,6.94,0.000,26
3237,6.94,0.000,26
3262,6.76,0.000,26
3287,6.61,0.000,26
3312,6.08,0.000,26
3337,6.51,0.000,26
3362,6.47,0.000,25
3387,6.30,0.000,25
3412,6.17,0.000,25
3437,6.06,0.000,25
3462,6.10,0.000,25
3487,6.45,0.000,25
3512,6.80,0.000,25
3537,6.76,0.000,25
3562,6.36,0.000,27
3587,5.43,0.000,27
3612,6.73,0.000,27
3637,7.31,0.000,27
3662,7.73,0.000,27
3687,7.94,0.000,27
3712,8.22,0.000,27
3737,7.99,0.000,27
3762,7.66,0.000,27
3787,7.03,0.000,27
3812,6.47,0.000,27
3837,6.01,0.000,27
3862,5.94,0.000,27
3887,6.26,0.000,27
3912,6.46,0.000,27
3937,6.26,0.000,27
3962,7.57,0.000,27
3987,8.05,0.000,27
4012,8.25,0.000,27
4037,8.29,0.000,27
4062,8.22,0.000,29
4087,8.22,0.000,29
4112,7.89,0.000,29
4137,7.24,0.000,29
4162,6.54,0.000,29
4187,6.26,0.000,29
4212,6.13,0.000,29
4237,6.17,0.000,29
4262,6.39,0.000,28
4287,6.42,0.000,28
4312,6.32,0.000,28
4337,6.26,0.000,28
4362,6.05,0.000,28
4387,4.46,0.036,28
4412,6.04,0.000,28
4437,7.03,0.000,28
4462,6.17,0.000,28
4487,6.27,0.000,28
4512,6.74,0.000,28
4537,6.60,0.000,28
4562,6.57,0.000,28
4587,6.97,0.000,28
4612,7.23,0.000,28
4637,6.77,0.000,28
4662,6.88,0.000,28
4687,7.02,0.000,28
4712,6.83,0.000,28
4737,6.75,0.000,28
4762,6.76,0.000,28
4787,6.76,0.000,28
4812,6.72,0.000,28
4837,6.76,0.000,28
4862,6.65,0.000,28
4887,6.73,0.000,28
4912,6.56,0.000,28
4937,6.71,0.000,28
4962,6.66,0.000,28
4987,6.71,0.000,28
5012,6.71,0.000,28
5037,6.71,0.000,28
5062,6.66,0.000,28
5087,6.71,0.000,28
5112,6.64,0.000,28
5137,6.71,0.000,28
5162,6.69,0.000,28
5187,6.65,0.000,28
5212,6.65,0.000,28
5237,6.06,0.000,28
5262,6.11,0.000,28
5287,6.53,0.000,23
5312,6.60,0.000,23
5337,6.69,0.000,23
5362,6.54,0.000,23
5387,6.46,0.000,23
5412,6.26,0.000,23
5437,6.14,0.000,23
5462,4.78,0.000,23
5487,5.26,0.000,23
5512,5.95,0.000,23
5537,6.27,0.000,23
5562,6.21,0.000,23
5587,5.99,0.000,23
5612,5.73,0.000,23
5637,5.78,0.000,23
5662,5.77,0.000,23
5687,5.13,0.000,23
5712,5.48,0.000,23
5737,5.69,0.000,23
5762,5.81,0.000,23
5787,5.75,0.000,23
5812,0.13,0.483,29
