chainage_m,median_speed_ms,stop_frac,n_rides
12,2.23,0.220,59
37,5.36,0.000,57
62,5.89,0.000,58
87,5.42,0.000,58
112,4.40,0.000,59
137,5.70,0.000,59
162,6.13,0.000,59
187,6.58,0.000,59
212,6.69,0.000,60
237,6.69,0.000,60
262,6.59,0.000,60
287,6.83,0.000,60
312,6.71,0.000,60
337,6.70,0.017,60
362,6.16,0.017,60
387,4.55,0.000,60
412,5.40,0.000,60
437,3.99,0.048,63
462,4.48,0.016,64
487,5.70,0.000,64
512,6.17,0.016,64
537,6.43,0.000,64
562,6.55,0.016,64
587,6.48,0.000,64
612,6.36,0.000,64
637,6.40,0.000,64
662,6.46,0.000,64
687,6.48,0.000,64
712,6.74,0.000,64
737,6.67,0.000,64
762,6.50,0.000,64
787,5.43,0.016,64
812,4.55,0.016,64
837,6.56,0.000,64
862,6.64,0.000,64
887,6.59,0.000,64
912,6.64,0.000,64
937,6.69,0.000,64
962,6.62,0.000,64
987,6.59,0.000,64
1012,6.47,0.000,64
1037,6.27,0.016,64
1062,6.42,0.000,64
1087,6.39,0.000,64
1112,6.61,0.000,64
1137,6.67,0.000,64
1162,6.29,0.000,64
1187,6.20,0.000,64
1212,6.63,0.000,64
1237,6.65,0.000,64
1262,6.69,0.000,64
1287,6.70,0.000,64
1312,6.74,0.000,64
1337,6.69,0.000,64
1362,6.65,0.000,64
1387,6.62,0.000,64
1412,6.60,0.000,64
1437,6.66,0.000,64
1462,6.61,0.000,64
1487,6.71,0.000,63
1512,6.62,0.000,63
1537,6.56,0.000,63
1562,6.56,0.000,64
1587,6.65,0.000,64
1612,6.70,0.000,64
1637,6.65,0.000,64
1662,6.63,0.000,64
1687,6.59,0.000,64
1712,6.62,0.000,64
1737,6.53,0.000,64
1762,6.58,0.000,64
1787,6.59,0.000,64
1812,6.59,0.000,64
1837,6.54,0.000,64
1862,6.70,0.000,64
1887,6.73,0.000,64
1912,6.67,0.000,64
1937,6.66,0.000,64
1962,6.63,0.000,64
1987,6.60,0.000,64
2012,6.53,0.000,64
2037,6.54,0.000,64
2062,6.69,0.000,64
2087,6.69,0.000,64
2112,6.66,0.000,64
2137,6.69,0.000,64
2162,6.72,0.000,64
2187,6.70,0.000,64
2212,6.70,0.000,64
2237,6.72,0.000,64
2262,6.69,0.000,64
2287,6.73,0.000,64
2312,6.73,0.000,64
2337,6.74,0.000,64
2362,6.72,0.000,64
2387,6.65,0.000,64
2412,6.65,0.000,64
2437,6.70,0.000,64
2462,6.69,0.000,64
2487,6.70,0.000,64
2512,6.37,0.000,64
